Brand,Name,Product,Review,Grade
DIOR,DEVILISH,Palette,"a limited edition set of five shades that released earlier in the year as part of the fall collection. The formula was decent but certainly not the best I�ve tried, by Dior or otherwise, though I�ll say it was certainly a more interesting color combination. (Personally, that paler pink did not incorporate well with the other four to me due to the undertone of the pink.) It�s still available at some retailers, and as holiday season winds down, I had a moment to finally test this one!",B+
TOM FORD BEAUTY,LETITIA,Lipstick,"a medium-dark lavender with warmer, pink undertones and a cream finish. The color coverage was nearly opaque in a single layer with a lightly creamy, smooth consistency that had some slip but did not feel too slippery when worn. The downside was in the application, as a bit of product settled into my deeper lip lines and there was very slight streaking along the edges of my lips. It lasted nicely for four and a half hours and was moisturizing to wear.",B
TOM FORD BEAUTY,KAIA,Lipstick,"a bright, medium purple with warm undertones and a glossy, cream finish. It had semi-opaque pigmentation that applied fairly evenly, but for a luxury-priced lipstick, I would expect it to be perfect in application, though it at least smoothed out a lot of my lip lines. The consistency was lightly creamy with moderate slip that made it comfortable to apply and to wear. It stayed on well for five hours and was hydrating over time.",B+
ESSENCE,BE MY SPACELIGHT,Highlighter,"a pale white base with pink-to-lavender shifting pearl. It had medium, buildable coverage with a more translucent base and very fine pearl; I was surprised that it didn�t appear chalkier when applied as it had some coverage, yet it wasn�t that shimmery either. Frankly, it was a little mystifying with how it translated onto my cheekbones! It had a natural sheen that seemed a bit more noticeable in person than it reads in the photos. The texture was smooth without being too firmly or too softly pressed in the pan, so highlighting and blush brushes picked up product well, distributed them onto my skin easily, and blended the edges beautifully. It wore well for eight hours on me before fading slightly.",B+
COLOUR POP,LIT,Palette,"a new, limited edition palette with warm-toned shades across mattes and shimmers. Worth noting, the following shades are �not intended for use in the immediate eye area� per the brand: Mercy and Like. Most of the eyeshadows had good pigmentation, were blendable, and easy enough to use, though it wasn�t quite as good as some of the brand�s previous offerings have been.",A-
COLOUR POP,WIG,Lipstick,"a deep red with subtle, cool undertones and a satin finish. It had rich color coverage in a single layer, which applied evenly and spread well across my lips. The consistency was lightweight, smooth, and not too thick or too thin, which made it easier to apply without it overflowing past my lip line nor did it emphasize my lip lines. It was a bit more emollient than some Ultra Satins, but it still had that semi-set dry down. The color was still going strong after eight hours of wear and was neither drying nor hydrating over time.
",A
COLOUR POP,SHE CUTE,Lipstick,"a bright, medium-dark peach with strong, warm orange undertones and a satin finish. It had good pigmentation but wasn�t opaque in one layer. The texture was slightly emollient, which helped it spread easily across my lips, but it gravitate toward my lip lines and did not offer the full coverage application that most of the Ultra Satins offer. It lasted well for five and a half hours and was non-drying.",B
COLOUR POP,WET,Palette,"a new, limited edition palette with six cooler, bluer-based shades and two warm browns. I found that the mattes were a little more powdery than the average shade by the brand, and a couple of the shimmery shades were denser/firmer, so they apply more readily with fingertips/dampened brushes than regular brushes (and not all of ColourPop�s shimmery shades are like that). For the types of shades, it�s actually not bad, as cooler-toned and blues seem to be a bit harder to develop based on what I�ve experienced on the market over the years by various brands (though the cobalt blue not being better was a surprise).",B+
TOM FORD BEAUTY,GAL,Lipstick,"a soft, medium pink with warm undertones and a cream finish. It had excellent pigmentation that covered my lips evenly in a single layer. The consistency was lightly creamy with some slip but didn�t slide around too readily when worn. There was a smidgen of product that settled into my deeper lip lines initially but did not seem to get progressively worse over time. The color stayed on well for four hours and was moisturizing while worn.",A-
TOM FORD BEAUTY,CINDY,Lipstick,"a bright, light lavender with warm, pink undertones and a cream finish. It had semi-opaque pigmentation that had a lightly creamy, smooth consistency that glided across my lips without dragging. It had a fair amount of slip, and I found it difficult to prevent slight streaking along the edges, and there was a bit of product in my deeper lip lines that did get worse as it wore. It wore well for three and a half hours but was hydrating over time.",B-
COLOUR POP,OOH SHE'S BLUSHING,Blush,"a vivid, medium-dark pink-coral with warm undertones and a matte finish. It had a more flat matte finish when swatched, but it seemed to absorb the natural oils on my face when I applied it to my cheeks (my arm is very dry compared to my face!). The blush had a velvety, smooth consistency that left an indent behind when pressed but didn�t feel wet to the touch�it felt almost clay-like but more malleable. It had opaque pigmentation when applied with fingertips and easily semi-opaque pigmentation when applied with a stippling brush; the latter was the best way to achieve more semi-sheer, buildable coverage but I had to barely pick up any product to do so.

I was able to spread and blend out the product well over bare skin with fingertips and brushes, but for application over a base, a brush was best but there was a bit of lifting. It wore well for 10 hours before fading very slightly.
",B+
GUERLAIN,ELECTRIC LOOK,Palette,"a new, limited edition palette featuring eight eyeshadows and two highlighters for the holidays. The formula can be used wet or dry, but they really offer little insight into the formula behind the palette. The majority of the products were pigmented applied dry, so using them damp usually amplified the finish or made them a little smoother but wasn�t strictly necessary for coverage/application. That being said, the mattes did NOT play well with a dampened brush, so I would advise being careful with using them with a dampened brushes�instead I recommend to pick up product, then gently spray your brush to wet it (or the back of your hand).",B+
COLOUR POP,I SEE YOU,Lipgloss,"a deeper, more orange-leaning gold with flecks of gold and copper sparkle and very fine, golden pearl. The shade itself was described as �sheer� by the brand, but it seemed more semi-sheer to medium to me. The texture was lightweight, lightly creamy without being tacky and comfortable to wear, though there was a bit more product in a few of my lip liens than I expected (usually the formula is rather smoothing). It wore well for three hours and was hydrating over time.",B
COLOUR POP,KUMQUAT,Lipgloss,"a pale, bluish-white with cool undertones and a smattering of silver flecks of sparkle. The brand described it as �translucent,� which was apt, as it was nearly clear on my lips�it seemed to, at best, enhance the cooler pinkness of my natural lip color while adding a bit of milkiness to them. I could see some of the effect of it, particularly along the outer edge of my lips, where there was �coverage� of the translucent variety. The texture was smooth and lightweight without being tacky, and it was easy to spread across my lips. For a pale, milky gloss, it didn�t emphasize my lip lines like I would have expected. It lasted for an hour and a half hour on me from what I could tell (with so little coverage, it is much harder to tell other than by the shine wearing down and physically feeling like there was less gloss on my lips). The formula felt hydrating on me (I wore it back-to-back to get a better sense of that).",B
COLOUR POP,STOP IT,Blush,"a bright, medium orange with warm, balanced (between red and yellow) undertones and a true matte finish. While the finish was totally matte, it did seem to absorb a bit of my skin�s natural oils so it did not appear totally flat when applied to my cheeks. The end result was more of a stained effect, which worked particularly well when applied over bare skin, but application over a base was a little more challenging (doable with more buildable coverage, less-matte foundations). The texture was more velvety and clay-like�drier and less �wet� to the touch compared to more shimmery shades in the formula. It was extremely pigmented, though, and even when I applied the color with a stippling brush, it wasn�t �sheer� and �airbrushed� but rather more medium if I was careful, semi-opaque if I wasn�t. It stayed on well for 10 hours on me before fading very slightly.",B+
NARS,BIG SUR,Eyeshadow,"a medium-dark, navy blue with subtle, cool undertones and a satin finish. It had nearly opaque pigmentation with a smooth, lightly creamy texture that was dense without being thick or too stiff to easily pick up with a brush. It wore well for eight hours on me before fading a bit.",A-
NARS,BALI,Eyeshadow,"a medium-dark, taupe-brown with subtle, warm undertones and a matte finish. The texture was soft, lightly powdery but blendable and easy to build up coverage from semi-opaque to opaque with two layers. It seemed a little lighter, marginally less pigmented but more buildable/blendable than the original shade I have. This shade stayed on well for seven and a half hours on me.",B
NARS,LAHORE,Eyeshadow,"a soft brown with warm undertones and a satin sheen. It had opaque pigmentation that adhered well to bare skin with smooth, even coverage. The texture was soft, firmer but not too dense or stiff in the pan, so it was easy to work with and blended out nicely along the edges. It wore well for eight hours on me.",A-
NARS,KINGSTON,Eyeshadow,"a pale taupe with neutral-to-cool undertones and a matte finish. It had semi-opaque, buildable pigmentation with a soft, slightly dusty texture, but it blended out easily and adhered well without sheering out too readily. It lasted stayed on well for seven and a half hours before fading noticeably on me.",B+
NARS,KASHMIR,Eyeshadow,"a soft, golden taupe with warm undertones and a pearly sheen. It had excellent color payoff with a soft, smooth consistency that was blendable and easy to work with. The eyeshadow seemed to �melt� a little onto my lid after a few minutes giving it a really smooth sheen. It stayed on nicely for eight hours on me.",A
NARS,PYRENEES,Eyeshadow,"a deep gray with cool undertones and a frosted finish. It had semi-opaque pigmentation paired with a slightly drier, dustier texture, so it didn�t apply as evenly initially as a lot of other shades. There was also a bit of fallout; it was a shade that needed primer underneath it. On me, it wore well for seven and a half hours.",B-
NARS,BANQUISE,Eyeshadow,"a bright silver with a metallic sheen. It had good pigmentation with a slightly drier, more loosely pressed texture�it seemed like it was going to apply better than it actually did. It went on somewhat patchy and had to be buffed onto my lid to even out. It lasted well for eight hours on me before creasing faintly.",B
NARS,TZARINE,Palette,"a new, permanent duo featuring a soft, shimmery yellow beige and a muted bluish-gray. It�s not my favorite duo�both shades were more medium in coverage and drier/dustier in texture, so they really had to be used over an eyeshadow primer to just make it to workable territory.",C
NARS,THESSALONIQUE,Palette,"a new, permanent duo featuring a pale, shimmery pink and a faded mauve. This particular duo will be best suited for someone who uses eyeshadow primer and prefers softer color and/or more buildable mid-tone shades.",B-
CHARLOTTE TILBURY,PILLOW TALK,Blush,"a soft, peachy brown with soft, warm undertones and a luminous sheen. The center shade is a lighter, more shimmery peach, whereas the outer ring of color is a light-medium, rosy brown with a semi-matte to satin finish. It is most practical to use swirled together, though one can concentrate a bit more to the edge or more in the center to darken or lighten. The texture of both shades was the same: silky, smooth, and finely-milled without being powdery nor too firmly pressed in the pan. They applied evenly and blended out easily on my skin. The color stayed on well for eight and a half hours on me.

Per Charlotte Tilbury PR, this shade will return in January (it�s sold out, has been sold out, and so on).",A
CIATE,BURNT,Palette,"a new, warm-toned palette for the holidays, which may be covered territory in your stash but is a nice option for those who haven�t yet indulged in the right warmer palette. The texture of the formula is soft but not dusty, a little airy but cream-like on the lid�the brand calls it �powder-gel.� All nine shades were easy to work with, and the shimmers had great pigmentation and wear, while the mattes had medium to full pigmentation but were buildable.",A-
TOM FORD BEAUTY,SCOTT,Lipstick,"a medium-dark plum with subtle, warm undertones and a soft, pearly sheen. It had good pigmentation, though it wasn�t opaque in a single layer, but it went on evenly and smoothly across my lips. The lipstick had a lightly creamy consistency that glided on well without tugging but did not slide around while worn. It lasted nicely for five hours and was moisturizing over time.",A
TOM FORD BEAUTY,CHADWICK,Lipstick,"a slightly muted, medium-dark reddened plum with warm undertones and a cream finish. It had nearly opaque pigmentation that applied beautifully to my lips in a single stroke�even, streak-free coverage that didn�t emphasize my lip lines. The texture was lightweight, lightly creamy but not slippery to wear, and comfortable over the five hours it stayed on for. The formula felt hydrating over time.",A+
GIVENCHY,HOLIDAY 2018,Palette,"features two miniature-sized version of top selling shades in the Rouge Interdit Satin Lipstick range. The formula is supposed to have �long-lasting wear� with �vibrant, satin color� that has �endless comfort.� They were both comfortable to wear, but it wasn�t a particularly long-wearing formula as the texture was more emollient but thin without that adherence needed for exceptional longevity. They were floral-scented from what I could tell but had no discernible taste.",B
TOM FORD BEAUTY,LIORA,Lipstick,"a pale pink with cool undertones and a natural sheen. It had semi-sheer coverage that applied somewhat unevenly and had streaking along the edges. The texture was lightweight with a lightly creamy, thinner consistency that felt a bit like a balm, so it didn�t drag or tug on my lips during application but I did have issues with color getting into my lip lines. It lasted for three hours on me and was lightly hydrating.",C+
COLOUR POP,FALLING UP,Eyeshadow,"a light, golden peach base with pink and blue glitters over a metallic sheen. It had semi-opaque pigmentation�a little more than it initially appeared in the swatch (more noticeable in the angled swatch)�that applied evenly to bare skin. The consistency was smooth, almost wet to the touch, but it was creamy and lightweight with a nice dry down�quick enough not to settle into creases but allowed me to play and diffuse the edges as it dried down. It lasted nicely for 10 hours with very little fallout over time but no creasing.",A-
COLOUR POP,IRL,Eyeshadow,"a medium, rosy-copper base with gold-to-green shifting sparkle and pearl. It had good color coverage, though it needed a second layer for truly opaque coverage, with a smooth, blendable consistency that wasn�t too creamy or too dry in the pot. The cream eyeshadow applied evenly to bare skin and blended out well along the edges without disrupting the sparkle much (a couple of flecks came loose). It stayed on well for 10 hours with very little fallout over time but no creasing.",A
COLOUR POP,ZZZ,x,"a deep, coppery brown with warm, reddish-copper and copper shimmer over a metallic finish. It had rich color coverage that applied evenly and smoothly across my lid in a single layer. The texture was wetter than most of the Super Shock Shadows but consistent in the feel of the more metallic shades. I really appreciated that it didn�t sheer out too readily so I could get precision and coverage with brushes as well as fingertips. The edges blended out without much effort, even after it had dried down. It wore well for 10 hours without fading or creasing on me.",A
COLOUR POP,DUST2DUST,Lipgloss,"a soft, peachy-orange base with fine pink and peach pearl. It had sheer coverage where the warmer base color tinted my lips a warmer pink with a dusting of fine pink and peach pearl. The consistency was lightweight, smooth, and spreadable with a non-sticky, cushion-like feel that was comfortable and moisturizing on my lips. The lipgloss applied fairly well on my lips but wasn�t as smoothing of my lip lines as other shades in the formula have been for me, and it lasted for two and a half hours on me.",B+
COLOUR POP,HYPNO-TEASE,Lipgloss,"a medium gold with strong, yellow undertones and a sparkling finish. It had semi-sheer coverage with a soft, yellow-ish tint to its base that made my lips appear a bit �coral� in color (but your mileage will vary based on your own natural lip color). The shimmer and sparkle dispersed fairly evenly across my lips, but this particular shade looked less �even� on my lips than other shades in the range, though I found it hard to discern exactly why that was so. The gloss had a smooth, cushion-like texture�creamy and a bit thicker but not heavy or sticky. It lasted well for three hours and was hydrating over time.",B+
WET 'N' WILD,BLOOM TIME,Highlighter,"a soft, pink-peach with warm undertones and a metallic sheen. It had nearly opaque pigmentation in a single layer, which was easily built up to full coverage with a dab more on top. The consistency was smooth, dense without being thick or stiff in the pan, and blendable on my skin. It had a very metallic finish that was just shy of pore-emphasizing territory on me (which should be read as: if you generally find products emphasize your pores/texture more often than not, this might!). It wore well for eight and a half hours on me before fading slightly.",A
COLOUR POP,SWEET DREAMS,Eyeshadow," a medium pink with warm undertones and flecks of gold and pink sparkle. It had medium coverage that was slightly buildable (to mostly opaque) with two layers, though you�ll want to ensure the first layer is dry before applying the second. The texture felt cool and watery initially, and then it was lightweight, thin, and quick to dry down to a transfer-proof finish on my lid. It lasted well for 10 hours without creasing, fading, or having fallout.",A-
COLOUR POP,NO REST FOR THE VIVID,Eyeshadow,"a brighter, medium pink with subtle, warm undertones and flecks of bluish-pink and silver sparkle. It had semi-opaque, buildable pigmentation with a watery, cooling texture that felt very fluid but was quite thin on my lid. The product dried down fully within 10-15 seconds, which gave me enough time to apply, even out, and diffuse a bit, but it didn�t have such a tight dry down that I wasn�t able to blend near it as it did not flake off when I did so (sometimes cream eyeshadows do this if you muck around with them after they�re set!). The eyeshadow wore nicely for 10 hours without fading, creasing, or having fallout.",A
COLOUR POP,WAVELENGTH,Eyeshadow,"a pale white base with a pink-to-lavender shifting sparkle. It had semi-opaque pigmentation that was somewhat buildable but worked best as a layering shade or to brighten an area. The consistency felt similar to other shades in the formula�watery, cool, and thin but fairly easy to apply and quick to set. They�re messier to open up but easier to use than the Super Shock Shadows sometimes. It stayed on well for 10 hours without fallout, fading, or creasing on my lid.",A
COLOUR POP,MORNING LIGHT,Eyeshadow,"a light-medium orange with peach-to-pink shifting pearl paired with a more metallic sheen. It had excellent pigmentation with a lightweight, watery consistency that felt cool to the touch but applied evenly and dried down quickly (but still had enough time to diffuse and soften the edges). It lasted well for 10 hours without fading or creasing on me.",A
BITE BEAUTY,SAGITTARIUS,Lipstick,"an electrifying, neon pink with strong, cool blue undertones and a cream finish. It had nearly opaque pigmentation with a smooth, creamy consistency that had a touch of tackiness that helped keep it in place. The lipstick applied without dragging and deposited even color as it glided across my lips. There was a little bit of product that gathered in my deeper lip line, but it wasn�t noticeable from a normal viewing distance. This shade stayed on well for over six hours and was hydrating over time.
",A
MAC,WHO WANTS KANDI,Lipstick,"a light-medium pink with warmer undertones and cooler, iridescent pearl. It had medium color coverage in a single layer, which did not build up much beyond that; it was more in the vein of some of the more pearlescent shades in the launch, but unfortunately, this one wasn�t described as sheer. The consistency was lightweight and thinner and felt just emollient enough not to drag on my lips. It lasted for three and a half hours, but there was a touch of product that settled into my lip lines over time. The formula was neither drying nor hydrating on me from what I could tell.",C+
MAC,SHIMMER AND SPICE,Lipstick,"a medium-dark, plummy brown base with flecks of copper, pink, and gold pearl and micro-sparkle. The texture was noticeably gritty and a bit rougher than I�d expect, likely due in part to the thinner consistency that just didn�t suspend the sparkle in enough substance to keep it feeling smooth against my lips. It had medium coverage that did not apply evenly at all. The color stayed on well for four hours and was neither drying nor hydrating.",C-
MAC,SMARTICLE,Lipstick,"a rich, medium-dark copper with warm, red undertones and a satin finish. The color payoff was opaque in a single layer, while the lipstick had a lightly creamy consistency that was a bit thicker on my lips but did not feel heavy. It had just enough creaminess to glide on without tugging on my lips, but it seemed more prone to separating just slightly along my lip lines, though it wasn�t noticeable from a normal viewing distance. It wore well for five and a half hours and was neither drying nor hydrating on me.",A-
MAC,SMARTY PANTS,Palette,"a new, permanent (per MAC�s website) palette that features eight eyeshadows and one cheek highlighter. The mattes in the palette were nice�softer and more blendable than MAC�s typical formula�but the shimmers were much denser, heavier, and thicker, which made them harder to use with typical eye brushes. The shimmers were more workable with a dampened brush or fingertips, so if those are part of your usual arsenal of techniques/tools, then it might be a better-performing palette for you.",B
COLOUR POP,CHASING RAINBOWS,Palette,"another winning eyeshadow palette from ColourPop. This is a nice mix of color, undertone, and finish that works well as a single palette but paired well with the various products released in the collection (like the Super Shock Shadows and Jelly Much Eyeshadows). I really enjoyed playing and putting together color combinations with this palette and had little difficulty using and working with the shades in it.",A-
TOM FORD BEAUTY,IMARI,Lipstick,"a bright, medium fuchsia pink with cool, bluish undertones and a glossy, cream finish. It had good pigmentation that applied fairly evenly across my lips, but there was faint streaking along the outer area of my lips (just barely visible in the close-up photos and harder to see in person). The lipstick had a creamy, emollient consistency that helped it skate across my lips, but it was thinner and adhered comfortably to my lips without sliding around while I wore it. This shade stayed on nicely for four and a half hours and left a fain stain behind, while the formula was moisturizing over time.
",B+
TOM FORD BEAUTY,BELLA,Lipstick,"a rich, pinky-red with subtle, cool undertones and a natural sheen. It had good color coverage that applied evenly across my lips and didn�t settle into my lip lines, but it wasn�t quite full coverage. The consistency was emollient with good glide, which made it comfortable to apply and to wear, but it didn�t slide around when worn. It wore well for five hours and was hydrating over time.
",A
MAC,BLACK NIGHT,Lipstick,"a deep black with warm undertones and gold pearl paired with a glossy finish. It had semi-opaque pigmentation, and for as much slip as it had, it went on more smoothly and evenly than anticipated, though there was plenty of room for improvement. I would recommend applying a lip liner all-over the lips for better coverage, application, and wear. I didn�t experience any feathering or bleeding over the four and a half hours it lasted for, but the product did settle into my lip lines noticeably over time.
",B-
MAC,GLAMOUR OF PUNK,Lipstick,"a soft pink with subtle, cool undertones and a frosted sheen. The shimmer was finer, so it felt rather smooth and has a more pearly effect than overtly sparkly or metallic on my lips. It had sheer color coverage, which was actually how it was described, with a thinner consistency and just enough slip not to drag. It lasted for three hours on me and was non-drying.",B
MAC,RAVE CHIC,Lipstick,"a medium purple with very strong, warm pink undertones and cooler violet pearl. It had semi-sheer, slightly buildable (to about medium) coverage that applied fairly evenly to my lips. Due to the translucency and the more contrasting shimmer, it worked particularly well as a layering shade�it still added a lot of oomph to my lips despite not being opaque. It was, thankfully, described as �sheer,� so it was marketed accurately! The texture was thinner but had enough slip that it glided onto my lips without tugging and was fairly comfortable to wear. It stayed on well for four hours on me and was neither drying nor hydrating.",B+
COLOUR POP,CRYSTAL CASTLE,Eyeshadow,"a soft white with a pink-to-peach shift, though it often looked like a warm, iridescent pink on me with a chalkier base. I found that this finish, which seemed more white-based and had finer shimmer than others in the formula, did not apply as evenly to my skin and looked drier once they set in place. I expected it to brighten more when I placed it on my inner tearduct. It had semi-opaque pigmentation and had a texture that was very wet and �cool� to the touch, but it dried down fairly quickly so I didn�t have to worry about it creasing or moving while it was setting. It lasted for 10 hours without fading or creasing on me.",B
COLOUR POP,WIDE AWAKE,Eyeshadow,"a bright, light-medium gold with subtle, warm undertones and a metallic sheen. It had nearly opaque pigmentation that applied evenly and smoothly to bare skin. The texture was watery and cool to the touch, but it dried down quickly without getting into my crease or fine lines but I was still able to diffuse and blend out the edges. It lasted nicely for over 10 hours without creasing or fading on my lid.",A
COLOUR POP,INTO FOCUS,Eyeshadow,"a light-medium, grassy green with subtle, warm undertones and a sparkling, metallic sheen. It had good color coverage, though it wasn�t quite opaque, and I found it built up a bit more on the lid than it appeared when I swatched on my arm. The eyeshadow could have gone on a bit more evenly, but it wasn�t noticeable from a normal distance but I could see it in the close-up photos. The consistency was lightweight, watery and cooling as it initially was placed o my lid, but it dried down fairly quickly and stayed in place for over 10 hours without fading or creasing on me.",A-
COLOUR POP,HALLUCINOGENIUS,Eyeshadow,"seemed to have an almost translucent base with blue-to-violet shifting sparkle and finer pearl, though it read a little �copper� in base when I photographed it but didn�t appear that way so much in person. The texture was lightweight, wet to the touch, and felt cool and watery when applied to bare skin. It had medium, buildable coverage but was hard to get fully opaque coverage. It would work well for layering over eyeliner or other eyeshadows to add pop of sparkle and shine. It lasted well for 10 hours without fading or creasing on me.",A-
COLOUR POP,STRATUS UPDATE,Lipgloss,"a light-medium, minty green with subtle, warmer undertones and cooler, green pearl. It had sheer coverage, which was as expected based on the finish, but it could have applied a bit more evenly as it seemed to show slight streaking along the edges, though it didn�t pull into my lip lines. The gloss had a smooth, spreadable consistency that was non-sticky and comfortable to wear for the two and a half hours it stayed on for. I found the formula to be lightly moisturizing while worn.",B
COLOUR POP,DREAMAHOLIC,Lipgloss,"soft lavender with subtle, cool undertones and violet to teal shifting pearl. It had sheer to semi-sheer coverage with a moderate amount of finer shimmer, which helped give it a very smooth, almost creamy, consistency that was easy to spread across my lips and comfortable to wear for the three and a half hours it lasted for. The base color seemed to give my lips more of a tinted appearance. The formula was hydrating and made my lip lines appear less prominent.
",A-
COLOUR POP,DREAM SEQUENCE,Palette,"a new, limited edition palette featuring two glittery highlighters and two more pearly highlighters. All four performed well with pigmentation that was as described (more opaque with fingertip application, more buildable with brushes), were easy to apply and blend out, and stayed on for a solid 10 hours. These shades can also be purchased individually (in pots).
",A
TOM FORD BEAUTY,RIVER,Lipstick,"a light-medium, pinky coral with warm undertones and a cream finish. The color payoff was nearly opaque in a single layer, and it applied evenly, though there was slight product that slipped into my deeper lip lines. I didn�t think it was noticeable from a normal viewing distance, just in the close-up photo. The texture was lightweight, creamy with moderate slip, and was comfortable to wear. It stayed on well for four hours and was hydrating over time.",B+
TOM FORD BEAUTY,JORDAN,Lipstick,"a deep, reddened plum with subtle, warm undertones and a luminous sheen. It had very faint pearl that gave it a subtle shimmer but was barely detectable in person (just added more depth, I think). The texture was smooth, lightly creamy, and comfortable to wear as it glided easily across my lips and distributed the product evenly. It had good color coverage, though it wasn�t opaque, and made my lips appear slightly smoother overall. It wore well for five hours and was hydrating over time.",A-
